timestamp,value
1340807641,278
1340807642,247
1340807643,168
1340807644,164
1340807645,730
1340807646,121
1340807647,322
1340807648,73
1340807649,29
1340807650,184
1340807651,320
1340807652,156
1340807653,81
1340807654,105
1340807655,29
1340807656,18
1340807657,3
1340807658,180
1340807659,384
1340807660,86
1340807661,800
1340807662,13
1340807663,3
1340807664,2
1340807665,17
1340807666,89
1340807667,21
1340807668,4
1340807669,23
1340807670,4
1340807671,5
1340807672,10
1340807674,575
1340807675,34
1340807676,41
1340807677,0
1340807678,39
1340807679,33
1340807680,0
1340807681,128
1340807682,78
1340807683,276
1340807684,4
1340807685,28
1340807686,807
1340807687,79
1340807688,11
1340807689,8
1340807690,36
1340807691,2
1340807692,31
1340807693,18
1340807694,7
1340807695,19
1340807696,16
1340807697,22
1340807698,67
1340807699,22
1340807700,25
1340807701,3
1340807702,22
1340807703,5
1340807704,56
1340807705,5
1340807706,34
1340807707,63
1340807708,89
1340807709,96
1340807710,53
1340807711,141
1340807712,813
1340807713,462
1340807714,1
1340807715,48
1340807716,234
1340807717,358
1340807718,45
1340807719,69
1340807720,72
1340807721,48
1340807723,28
1340807724,35
1340807725,37
1340807726,47
1340807727,776
1340807728,12
1340807729,77
1340807730,31
1340807731,177
1340807732,816
1340807733,13
1340807734,1
1340807735,2
1340807736,813
1340807737,38
1340807738,40
1340807739,5
1340807740,59
1340807741,29
1340807742,63
1340807743,14
1340807744,178
1340807745,475
1340807746,6
1340807747,139
1340807748,35
1340807749,46
1340807750,39
1340807751,233
1340807752,5
1340807753,36
1340807754,238
1340807755,373
1340807756,37
1340807757,42
1340807758,106
1340807759,146
1340807760,609
1340807761,313
1340807762,772
1340807763,619
1340807764,709
1340807765,596
1340807766,562
1340807767,649
1340807768,753
1340807769,3
1340807771,814
1340807772,53
1340807773,411
1340807774,640
1340807775,812
1340807776,717
1340807777,199
1340807778,426
1340807779,686
1340807780,460
1340807781,650
1340807782,633
1340807783,573
1340807784,544
1340807785,593
1340807786,629
1340807787,541
1340807788,533
1340807789,507
1340807790,680
1340807791,444
1340807792,590
1340807793,524
1340807794,607
1340807795,619
1340807796,567
1340807797,541
1340807798,550
1340807799,770
1340807800,565
1340807801,597
1340807802,749
1340807803,578
1340807804,719
1340807805,35
1340807806,715
1340807807,28
1340807808,630
1340807809,539
1340807810,175
1340807811,542
1340807812,556
1340807813,445
1340807814,195
1340807815,164
1340807816,189
1340807817,174
1340807818,109
1340807820,73
1340807821,28
1340807822,57
1340807823,63
1340807824,22
1340807825,255
1340807826,2
1340807827,33
1340807828,64
1340807829,61
1340807830,59
1340807831,140
1340807832,19
1340807833,1
1340807834,134
1340807835,25
1340807836,0
1340807837,61
1340807838,69
1340807839,18
1340807840,3
1340807841,0
1340807842,32
1340807843,6
1340807844,0
1340807845,42
1340807846,76
1340807847,15
1340807848,15
1340807849,39
1340807850,7
1340807851,827
1340807852,47
1340807853,32
1340807854,43
1340807855,6
1340807856,16
1340807857,38
1340807858,41
1340807859,14
1340807860,17
1340807861,99
1340807862,818
1340807863,77
1340807864,106
1340807865,138
1340807866,166
1340807867,792
1340807869,442
1340807870,61
1340807871,98
1340807872,319
1340807873,715
1340807874,564
1340807875,556
1340807876,625
1340807877,779
1340807878,463
1340807879,692
1340807880,300
1340807881,655
1340807882,288
1340807883,852
1340807884,676
1340807885,811
1340807886,594
1340807887,387
1340807888,639
1340807889,530
1340807890,636
1340807891,641
1340807892,640
1340807893,402
1340807894,359
1340807895,251
1340807896,203
1340807897,174
1340807898,810
1340807899,264
1340807900,431
1340807901,172
1340807902,96
1340807903,101
1340807904,285
1340807905,111
1340807906,826
1340807907,758
1340807908,125
1340807909,817
1340807910,126
1340807911,29
1340807912,10
1340807913,61
1340807914,723
1340807915,77
1340807917,0
1340807918,291
1340807919,824
1340807920,446
1340807921,775
1340807922,729
1340807923,138
1340807924,52
1340807925,742
1340807926,596
1340807927,835
1340807928,31
1340807929,791
1340807930,206
1340807931,110
1340807932,271
1340807933,7
1340807934,2
1340807935,73
1340807936,85
1340807937,23
1340807938,30
1340807939,20
1340807940,42
1340807941,17
1340807942,22
1340807943,30
1340807944,29
1340807945,7
1340807946,45
1340807947,50
1340807948,131
1340807949,677
1340807950,65
1340807951,0
1340807952,356
1340807953,277
1340807954,0
1340807955,37
1340807956,85
1340807957,44
1340807958,46
1340807959,38
1340807960,40
1340807961,201
1340807962,41
1340807963,46
1340807965,45
1340807966,5
1340807967,56
1340807968,7
1340807969,39
1340807970,75
1340807971,8
